Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10248","Architecture (ARCH) Open Sections"," 201","001","Basic Drawing","LAB","P R","M","","W","","","","","01/03/2018","04/17/2018","9-12PM","1360 A&AB","Harris","  30","  30","Y","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10249","Architecture (ARCH) Open Sections"," 202","001","Graphic Commun","LAB","P R","M","","W","","","","","01/03/2018","04/17/2018","9-12PM","B100 MLB","Gilpin","  19","  19","N","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27740","Architecture (ARCH) Open Sections"," 202","002","Graphic Commun","LAB","P R","","T","","TH","","","","01/03/2018","04/17/2018","1-4PM","B100 MLB","","  19","  19","N","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","22688","Architecture (ARCH) Open Sections"," 211","002","Digital Drawing","LAB","P R","","T","","","","","","01/03/2018","04/17/2018","10-12PM","ARR","Maigret","  19","  19","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10269","Architecture (ARCH) Open Sections"," 211","001","Digital Drawing","LEC","A  ","","T","","","","","","01/03/2018","04/17/2018","9-10AM","ARR","Maigret"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24377","Architecture (ARCH) Open Sections"," 211","004","Digital Drawing","LAB","P R","","","","TH","","","","01/03/2018","04/17/2018","230-430PM","ARR","AbuSeir","  19","  19","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24376","Architecture (ARCH) Open Sections"," 211","003","Digital Drawing","LEC","A  ","","","","TH","","","","01/03/2018","04/17/2018","130-230PM","ARR","AbuSeir"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32563","Architecture (ARCH) Open Sections"," 215","002","Building Business","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","4-5PM","130 TAP","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32564","Architecture (ARCH) Open Sections"," 215","003","Building Business","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","10-11AM","130 TAP","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32565","Architecture (ARCH) Open Sections"," 215","004","Building Business","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","11-12PM","130 TAP","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32562","Architecture (ARCH) Open Sections"," 215","001","Building Business","LEC","S  ","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","LEC RM 1 MLB","Zimmerman"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10250","Architecture (ARCH) Open Sections"," 218","001","Visual Studies","LAB","P R","","T","","TH","","","","01/03/2018","04/17/2018","9-12PM","B100 MLB","Jefferson","  19","  19","N","5.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27741","Architecture (ARCH) Open Sections"," 218","002","Visual Studies","LAB","P R","M","","W","","","","","01/03/2018","04/17/2018","1-4PM","B100 MLB","","  19","  19","N","5.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10252","Architecture (ARCH) Open Sections"," 322","001","Arch Desn II","LAB","P R","M","","W","","F","","","01/03/2018","04/17/2018","1-5PM","3100 A&AB","Mitnick"," 125"," 125","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31516","Architecture (ARCH) Open Sections"," 322","005","Arch Desn II","LAB","P  ","M","","W","","F","","","01/03/2018","04/17/2018","1-5PM","3100 A&AB","Utting","   1","   1","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10257","Architecture (ARCH) Open Sections"," 323","002","History Arch II","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","10-11AM","2210 A&AB","Herscher","  12","  12","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10258","Architecture (ARCH) Open Sections"," 323","004","History Arch II","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","11-12PM","2210 A&AB","Herscher","  12","  12","N","3.00",
